Step 100/300000, Total Loss: 8.0869, Mel Loss: 3.1796, Mel PostNet Loss: 2.5174, Pitch Loss: 1.0957, Energy Loss: 0.8989, Duration Loss: 0.3954
Step 200/300000, Total Loss: 5.9876, Mel Loss: 2.4510, Mel PostNet Loss: 1.9997, Pitch Loss: 0.9431, Energy Loss: 0.3604, Duration Loss: 0.2334
Step 300/300000, Total Loss: 4.1585, Mel Loss: 1.5677, Mel PostNet Loss: 1.4249, Pitch Loss: 0.7352, Energy Loss: 0.2712, Duration Loss: 0.1595
Step 400/300000, Total Loss: 3.5137, Mel Loss: 1.2704, Mel PostNet Loss: 1.2608, Pitch Loss: 0.6278, Energy Loss: 0.2117, Duration Loss: 0.1431
Step 500/300000, Total Loss: 2.8839, Mel Loss: 1.0425, Mel PostNet Loss: 1.1007, Pitch Loss: 0.4606, Energy Loss: 0.1727, Duration Loss: 0.1074
Step 600/300000, Total Loss: 2.6652, Mel Loss: 0.9325, Mel PostNet Loss: 1.0100, Pitch Loss: 0.4584, Energy Loss: 0.1595, Duration Loss: 0.1048
Step 700/300000, Total Loss: 2.3260, Mel Loss: 0.8786, Mel PostNet Loss: 0.9253, Pitch Loss: 0.2862, Energy Loss: 0.1434, Duration Loss: 0.0925
Step 800/300000, Total Loss: 2.2230, Mel Loss: 0.8112, Mel PostNet Loss: 0.8788, Pitch Loss: 0.3142, Energy Loss: 0.1305, Duration Loss: 0.0882
Step 900/300000, Total Loss: 2.1944, Mel Loss: 0.7932, Mel PostNet Loss: 0.8864, Pitch Loss: 0.3016, Energy Loss: 0.1201, Duration Loss: 0.0932
Step 1000/300000, Total Loss: 1.8659, Mel Loss: 0.7305, Mel PostNet Loss: 0.7737, Pitch Loss: 0.1917, Energy Loss: 0.0955, Duration Loss: 0.0745
Step 1100/300000, Total Loss: 2.0510, Mel Loss: 0.7491, Mel PostNet Loss: 0.8675, Pitch Loss: 0.2389, Energy Loss: 0.1097, Duration Loss: 0.0857
Step 1200/300000, Total Loss: 1.6922, Mel Loss: 0.6907, Mel PostNet Loss: 0.7472, Pitch Loss: 0.1107, Energy Loss: 0.0739, Duration Loss: 0.0698
Step 1300/300000, Total Loss: 1.6940, Mel Loss: 0.6802, Mel PostNet Loss: 0.7180, Pitch Loss: 0.1459, Energy Loss: 0.0766, Duration Loss: 0.0733
Step 1400/300000, Total Loss: 1.5412, Mel Loss: 0.6493, Mel PostNet Loss: 0.6728, Pitch Loss: 0.0963, Energy Loss: 0.0643, Duration Loss: 0.0585
Step 1500/300000, Total Loss: 1.5885, Mel Loss: 0.6527, Mel PostNet Loss: 0.6878, Pitch Loss: 0.1213, Energy Loss: 0.0638, Duration Loss: 0.0630
Step 1600/300000, Total Loss: 1.4498, Mel Loss: 0.6102, Mel PostNet Loss: 0.6292, Pitch Loss: 0.1113, Energy Loss: 0.0517, Duration Loss: 0.0474
Step 1700/300000, Total Loss: 1.4633, Mel Loss: 0.6129, Mel PostNet Loss: 0.6367, Pitch Loss: 0.1006, Energy Loss: 0.0585, Duration Loss: 0.0546
Step 1800/300000, Total Loss: 1.5040, Mel Loss: 0.6047, Mel PostNet Loss: 0.6399, Pitch Loss: 0.1291, Energy Loss: 0.0711, Duration Loss: 0.0592
Step 1900/300000, Total Loss: 1.3529, Mel Loss: 0.5784, Mel PostNet Loss: 0.5927, Pitch Loss: 0.0853, Energy Loss: 0.0481, Duration Loss: 0.0485
Step 2000/300000, Total Loss: 1.4556, Mel Loss: 0.6081, Mel PostNet Loss: 0.6372, Pitch Loss: 0.1045, Energy Loss: 0.0527, Duration Loss: 0.0531
Step 2100/300000, Total Loss: 1.2596, Mel Loss: 0.5548, Mel PostNet Loss: 0.5655, Pitch Loss: 0.0583, Energy Loss: 0.0403, Duration Loss: 0.0407
Step 2200/300000, Total Loss: 1.3280, Mel Loss: 0.5728, Mel PostNet Loss: 0.5812, Pitch Loss: 0.0844, Energy Loss: 0.0423, Duration Loss: 0.0473
Step 2300/300000, Total Loss: 1.2464, Mel Loss: 0.5418, Mel PostNet Loss: 0.5492, Pitch Loss: 0.0743, Energy Loss: 0.0425, Duration Loss: 0.0387
Step 2400/300000, Total Loss: 1.2284, Mel Loss: 0.5405, Mel PostNet Loss: 0.5451, Pitch Loss: 0.0651, Energy Loss: 0.0356, Duration Loss: 0.0421
Step 2500/300000, Total Loss: 1.2918, Mel Loss: 0.5584, Mel PostNet Loss: 0.5617, Pitch Loss: 0.0796, Energy Loss: 0.0433, Duration Loss: 0.0489
Step 2600/300000, Total Loss: 1.2232, Mel Loss: 0.5385, Mel PostNet Loss: 0.5410, Pitch Loss: 0.0674, Energy Loss: 0.0370, Duration Loss: 0.0393
Step 2700/300000, Total Loss: 1.2382, Mel Loss: 0.5402, Mel PostNet Loss: 0.5421, Pitch Loss: 0.0720, Energy Loss: 0.0415, Duration Loss: 0.0425
Step 2800/300000, Total Loss: 1.1678, Mel Loss: 0.5098, Mel PostNet Loss: 0.5106, Pitch Loss: 0.0731, Energy Loss: 0.0386, Duration Loss: 0.0356
Step 2900/300000, Total Loss: 1.2555, Mel Loss: 0.5453, Mel PostNet Loss: 0.5485, Pitch Loss: 0.0816, Energy Loss: 0.0341, Duration Loss: 0.0460
Step 3000/300000, Total Loss: 1.1025, Mel Loss: 0.4904, Mel PostNet Loss: 0.4904, Pitch Loss: 0.0584, Energy Loss: 0.0308, Duration Loss: 0.0325
Step 3100/300000, Total Loss: 1.1644, Mel Loss: 0.5184, Mel PostNet Loss: 0.5215, Pitch Loss: 0.0597, Energy Loss: 0.0301, Duration Loss: 0.0347
Step 3200/300000, Total Loss: 1.0782, Mel Loss: 0.4820, Mel PostNet Loss: 0.4845, Pitch Loss: 0.0488, Energy Loss: 0.0309, Duration Loss: 0.0318
Step 3300/300000, Total Loss: 1.1531, Mel Loss: 0.5085, Mel PostNet Loss: 0.5133, Pitch Loss: 0.0652, Energy Loss: 0.0321, Duration Loss: 0.0339
Step 3400/300000, Total Loss: 1.1462, Mel Loss: 0.5054, Mel PostNet Loss: 0.5050, Pitch Loss: 0.0562, Energy Loss: 0.0343, Duration Loss: 0.0453
Step 3500/300000, Total Loss: 1.0856, Mel Loss: 0.4882, Mel PostNet Loss: 0.4915, Pitch Loss: 0.0476, Energy Loss: 0.0277, Duration Loss: 0.0306
Step 3600/300000, Total Loss: 1.1330, Mel Loss: 0.5009, Mel PostNet Loss: 0.4998, Pitch Loss: 0.0597, Energy Loss: 0.0371, Duration Loss: 0.0354
Step 3700/300000, Total Loss: 1.1020, Mel Loss: 0.4906, Mel PostNet Loss: 0.4899, Pitch Loss: 0.0592, Energy Loss: 0.0327, Duration Loss: 0.0296
Step 3800/300000, Total Loss: 1.1100, Mel Loss: 0.4976, Mel PostNet Loss: 0.4958, Pitch Loss: 0.0549, Energy Loss: 0.0305, Duration Loss: 0.0313
Step 3900/300000, Total Loss: 1.0893, Mel Loss: 0.4833, Mel PostNet Loss: 0.4841, Pitch Loss: 0.0637, Energy Loss: 0.0296, Duration Loss: 0.0286
Step 4000/300000, Total Loss: 1.0776, Mel Loss: 0.4839, Mel PostNet Loss: 0.4837, Pitch Loss: 0.0537, Energy Loss: 0.0269, Duration Loss: 0.0295
Step 4100/300000, Total Loss: 1.1181, Mel Loss: 0.5007, Mel PostNet Loss: 0.5012, Pitch Loss: 0.0521, Energy Loss: 0.0316, Duration Loss: 0.0324
