Step 100/300000, Total Loss: 9.1180, Mel Loss: 3.4374, Mel PostNet Loss: 2.8253, Pitch Loss: 1.2856, Energy Loss: 1.0388, Duration Loss: 0.5308
Step 200/300000, Total Loss: 6.7105, Mel Loss: 2.5326, Mel PostNet Loss: 2.2272, Pitch Loss: 1.1373, Energy Loss: 0.5302, Duration Loss: 0.2832
Step 300/300000, Total Loss: 4.8562, Mel Loss: 1.6998, Mel PostNet Loss: 1.4912, Pitch Loss: 1.1147, Energy Loss: 0.3179, Duration Loss: 0.2326
Step 400/300000, Total Loss: 3.8806, Mel Loss: 1.2184, Mel PostNet Loss: 1.1668, Pitch Loss: 1.0358, Energy Loss: 0.2731, Duration Loss: 0.1864
Step 500/300000, Total Loss: 3.8928, Mel Loss: 1.0222, Mel PostNet Loss: 1.3196, Pitch Loss: 1.1415, Energy Loss: 0.2454, Duration Loss: 0.1641
Step 600/300000, Total Loss: 3.2875, Mel Loss: 0.9865, Mel PostNet Loss: 1.0491, Pitch Loss: 0.8849, Energy Loss: 0.2094, Duration Loss: 0.1577
Step 700/300000, Total Loss: 2.9775, Mel Loss: 0.8308, Mel PostNet Loss: 0.8945, Pitch Loss: 0.9150, Energy Loss: 0.1836, Duration Loss: 0.1536
Step 800/300000, Total Loss: 2.8673, Mel Loss: 0.7723, Mel PostNet Loss: 0.8342, Pitch Loss: 0.9471, Energy Loss: 0.1675, Duration Loss: 0.1462
Step 900/300000, Total Loss: 2.6833, Mel Loss: 0.7336, Mel PostNet Loss: 0.8077, Pitch Loss: 0.8258, Energy Loss: 0.1864, Duration Loss: 0.1297
Step 1000/300000, Total Loss: 2.3931, Mel Loss: 0.7180, Mel PostNet Loss: 0.7378, Pitch Loss: 0.6626, Energy Loss: 0.1558, Duration Loss: 0.1189
Step 1100/300000, Total Loss: 2.5243, Mel Loss: 0.7057, Mel PostNet Loss: 0.7595, Pitch Loss: 0.7572, Energy Loss: 0.1745, Duration Loss: 0.1274
Step 1200/300000, Total Loss: 2.1676, Mel Loss: 0.6953, Mel PostNet Loss: 0.7117, Pitch Loss: 0.5104, Energy Loss: 0.1398, Duration Loss: 0.1104
Step 1300/300000, Total Loss: 2.2568, Mel Loss: 0.6991, Mel PostNet Loss: 0.7179, Pitch Loss: 0.5700, Energy Loss: 0.1531, Duration Loss: 0.1167
Step 1400/300000, Total Loss: 1.9031, Mel Loss: 0.6620, Mel PostNet Loss: 0.6712, Pitch Loss: 0.3661, Energy Loss: 0.1093, Duration Loss: 0.0945
Step 1500/300000, Total Loss: 1.9888, Mel Loss: 0.6605, Mel PostNet Loss: 0.6744, Pitch Loss: 0.4252, Energy Loss: 0.1282, Duration Loss: 0.1005
Step 1600/300000, Total Loss: 1.8334, Mel Loss: 0.6656, Mel PostNet Loss: 0.6688, Pitch Loss: 0.3241, Energy Loss: 0.0922, Duration Loss: 0.0827
Step 1700/300000, Total Loss: 1.8904, Mel Loss: 0.6643, Mel PostNet Loss: 0.6740, Pitch Loss: 0.3452, Energy Loss: 0.1138, Duration Loss: 0.0930
Step 1800/300000, Total Loss: 1.9434, Mel Loss: 0.6370, Mel PostNet Loss: 0.6544, Pitch Loss: 0.4179, Energy Loss: 0.1347, Duration Loss: 0.0995
Step 1900/300000, Total Loss: 1.7789, Mel Loss: 0.6416, Mel PostNet Loss: 0.6466, Pitch Loss: 0.2959, Energy Loss: 0.1053, Duration Loss: 0.0895
Step 2000/300000, Total Loss: 1.9808, Mel Loss: 0.6362, Mel PostNet Loss: 0.6794, Pitch Loss: 0.4445, Energy Loss: 0.1277, Duration Loss: 0.0929
Step 2100/300000, Total Loss: 1.6412, Mel Loss: 0.6031, Mel PostNet Loss: 0.6058, Pitch Loss: 0.2642, Energy Loss: 0.0932, Duration Loss: 0.0748
Step 2200/300000, Total Loss: 1.8367, Mel Loss: 0.6409, Mel PostNet Loss: 0.6483, Pitch Loss: 0.3238, Energy Loss: 0.1289, Duration Loss: 0.0948
Step 2300/300000, Total Loss: 1.6167, Mel Loss: 0.6112, Mel PostNet Loss: 0.6144, Pitch Loss: 0.2359, Energy Loss: 0.0849, Duration Loss: 0.0703
Step 2400/300000, Total Loss: 1.7096, Mel Loss: 0.6071, Mel PostNet Loss: 0.6109, Pitch Loss: 0.3161, Energy Loss: 0.0951, Duration Loss: 0.0805
Step 2500/300000, Total Loss: 1.6589, Mel Loss: 0.5992, Mel PostNet Loss: 0.6045, Pitch Loss: 0.2614, Energy Loss: 0.1092, Duration Loss: 0.0846
Step 2600/300000, Total Loss: 1.4948, Mel Loss: 0.5856, Mel PostNet Loss: 0.5868, Pitch Loss: 0.1756, Energy Loss: 0.0740, Duration Loss: 0.0728
Step 2700/300000, Total Loss: 1.5653, Mel Loss: 0.5829, Mel PostNet Loss: 0.5877, Pitch Loss: 0.2127, Energy Loss: 0.1026, Duration Loss: 0.0793
