Step 100/300000, Total Loss: 10.2611, Mel Loss: 3.7755, Mel PostNet Loss: 3.1693, Pitch Loss: 2.0682, Energy Loss: 0.7713, Duration Loss: 0.4769
Step 200/300000, Total Loss: 7.6447, Mel Loss: 2.8397, Mel PostNet Loss: 2.4853, Pitch Loss: 1.7003, Energy Loss: 0.3715, Duration Loss: 0.2479
Step 300/300000, Total Loss: 6.1338, Mel Loss: 1.9817, Mel PostNet Loss: 1.5944, Pitch Loss: 2.1043, Energy Loss: 0.2604, Duration Loss: 0.1930
Step 400/300000, Total Loss: 4.6382, Mel Loss: 1.2763, Mel PostNet Loss: 1.1562, Pitch Loss: 1.8224, Energy Loss: 0.2364, Duration Loss: 0.1470
Step 500/300000, Total Loss: 4.5422, Mel Loss: 1.0943, Mel PostNet Loss: 1.3196, Pitch Loss: 1.7323, Energy Loss: 0.2332, Duration Loss: 0.1627
Step 600/300000, Total Loss: 3.6652, Mel Loss: 0.8282, Mel PostNet Loss: 0.9706, Pitch Loss: 1.5417, Energy Loss: 0.1957, Duration Loss: 0.1291
Step 700/300000, Total Loss: 3.2596, Mel Loss: 0.7799, Mel PostNet Loss: 0.8850, Pitch Loss: 1.2569, Energy Loss: 0.2009, Duration Loss: 0.1369
Step 800/300000, Total Loss: 3.4311, Mel Loss: 0.7589, Mel PostNet Loss: 0.8550, Pitch Loss: 1.4938, Energy Loss: 0.1974, Duration Loss: 0.1260
Step 900/300000, Total Loss: 2.9785, Mel Loss: 0.7244, Mel PostNet Loss: 0.8046, Pitch Loss: 1.1570, Energy Loss: 0.1856, Duration Loss: 0.1069
Step 1000/300000, Total Loss: 2.7736, Mel Loss: 0.7136, Mel PostNet Loss: 0.7394, Pitch Loss: 1.0524, Energy Loss: 0.1514, Duration Loss: 0.1169
Step 1100/300000, Total Loss: 2.8579, Mel Loss: 0.7150, Mel PostNet Loss: 0.8166, Pitch Loss: 1.0609, Energy Loss: 0.1688, Duration Loss: 0.0965
Step 1200/300000, Total Loss: 2.6064, Mel Loss: 0.6861, Mel PostNet Loss: 0.7053, Pitch Loss: 0.9476, Energy Loss: 0.1500, Duration Loss: 0.1174
Step 1300/300000, Total Loss: 2.7200, Mel Loss: 0.6838, Mel PostNet Loss: 0.6994, Pitch Loss: 1.0661, Energy Loss: 0.1652, Duration Loss: 0.1057
Step 1400/300000, Total Loss: 2.5347, Mel Loss: 0.7028, Mel PostNet Loss: 0.7133, Pitch Loss: 0.8335, Energy Loss: 0.1641, Duration Loss: 0.1210
Step 1500/300000, Total Loss: 2.3888, Mel Loss: 0.6476, Mel PostNet Loss: 0.6625, Pitch Loss: 0.8267, Energy Loss: 0.1497, Duration Loss: 0.1023
Step 1600/300000, Total Loss: 2.3118, Mel Loss: 0.6670, Mel PostNet Loss: 0.6756, Pitch Loss: 0.7017, Energy Loss: 0.1567, Duration Loss: 0.1108
Step 1700/300000, Total Loss: 2.2694, Mel Loss: 0.6568, Mel PostNet Loss: 0.6664, Pitch Loss: 0.6932, Energy Loss: 0.1525, Duration Loss: 0.1005
Step 1800/300000, Total Loss: 2.2736, Mel Loss: 0.6155, Mel PostNet Loss: 0.6415, Pitch Loss: 0.7806, Energy Loss: 0.1476, Duration Loss: 0.0884
